epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2428.32,0.51391,0.54014,1.10207,0.45032,0.75,0.50638,0.42568,1.41494,30.8238,2.48427,0.000676802,0.000676802,0.000676802
62,2467.15,0.54639,0.52317,1.0935,0.47664,0.5,0.4975,0.42339,1.85424,13.9528,3.38041,0.000660299,0.000660299,0.000660299
63,2505.69,0.65604,0.74922,1.21449,0.47664,0.5,0.4975,0.42339,1.85424,13.9528,3.38041,0.000643795,0.000643795,0.000643795
64,2544.71,0.52773,0.51666,1.08741,0.48225,0.75,0.51158,0.42432,1.8388,5.54837,3.51301,0.000627292,0.000627292,0.000627292
65,2583.85,0.58889,0.57152,1.1902,0.48225,0.75,0.51158,0.42432,1.8388,5.54837,3.51301,0.000610789,0.000610789,0.000610789
66,2622.2,0.63703,0.54169,1.2238,0.80447,1,0.995,0.46539,1.88028,2.1496,4.40507,0.000594286,0.000594286,0.000594286
67,2660.3,0.58054,0.54094,1.14736,0.80447,1,0.995,0.46539,1.88028,2.1496,4.40507,0.000577782,0.000577782,0.000577782
68,2700,0.50246,0.50078,1.05506,0.84502,1,0.995,0.52566,1.64408,1.95203,3.79434,0.000561279,0.000561279,0.000561279
69,2738.68,0.55554,0.53145,1.1261,0.84502,1,0.995,0.52566,1.64408,1.95203,3.79434,0.000544776,0.000544776,0.000544776
70,2777.17,0.5456,0.48269,1.17997,0.68508,1,0.91167,0.50647,1.32585,2.79231,3.20326,0.000528272,0.000528272,0.000528272
71,2815.65,0.48136,0.45523,1.0857,0.68508,1,0.91167,0.50647,1.32585,2.79231,3.20326,0.000511769,0.000511769,0.000511769
72,2854.6,0.53517,0.45232,1.15892,0.64578,0.75,0.74972,0.4675,1.23881,2.36179,2.94686,0.000495266,0.000495266,0.000495266
73,2893.66,0.4452,0.42658,1.01502,0.64578,0.75,0.74972,0.4675,1.23881,2.36179,2.94686,0.000478762,0.000478762,0.000478762
74,2932.56,0.49034,0.53977,1.08035,0.64726,0.75,0.74886,0.46632,1.27085,1.75595,2.69783,0.000462259,0.000462259,0.000462259
75,2970.97,0.46273,0.46606,1.04849,0.64726,0.75,0.74886,0.46632,1.27085,1.75595,2.69783,0.000445756,0.000445756,0.000445756
76,3009.77,0.56275,0.47025,1.13138,0.64096,0.75,0.74797,0.59803,1.07081,1.20398,2.37481,0.000429253,0.000429253,0.000429253
77,3048.22,0.52448,0.47242,1.11891,0.64096,0.75,0.74797,0.59803,1.07081,1.20398,2.37481,0.000412749,0.000412749,0.000412749
78,3086.74,0.48749,0.4725,1.13338,0.63663,1,0.91167,0.64921,1.03286,1.62648,2.13726,0.000396246,0.000396246,0.000396246
79,3125.3,0.45639,0.49437,1.09115,0.63663,1,0.91167,0.64921,1.03286,1.62648,2.13726,0.000379743,0.000379743,0.000379743
80,3163.9,0.51222,0.60729,1.15121,0.64551,1,0.995,0.55477,0.79833,2.45157,1.75777,0.000363239,0.000363239,0.000363239
81,3202.49,0.4637,0.47026,1.0768,0.64551,1,0.995,0.55477,0.79833,2.45157,1.75777,0.000346736,0.000346736,0.000346736
82,3240.74,0.41992,0.39906,1.04473,0.71336,1,0.995,0.63856,0.86125,2.60534,1.75086,0.000330233,0.000330233,0.000330233
83,3279.43,0.50594,0.50646,1.17884,0.71336,1,0.995,0.63856,0.86125,2.60534,1.75086,0.000313729,0.000313729,0.000313729
84,3317.98,0.47748,0.45682,1.05576,0.61801,0.8701,0.91167,0.63857,0.90279,1.84782,1.8582,0.000297226,0.000297226,0.000297226
85,3356.34,0.56295,0.53837,1.11469,0.61801,0.8701,0.91167,0.63857,0.90279,1.84782,1.8582,0.000280723,0.000280723,0.000280723
86,3394.92,0.45432,0.44323,1.09545,0.78426,1,0.995,0.66923,0.86691,1.75146,1.79316,0.00026422,0.00026422,0.00026422
87,3433.73,0.47386,0.46634,1.08359,0.78426,1,0.995,0.66923,0.86691,1.75146,1.79316,0.000247716,0.000247716,0.000247716
88,3473.69,0.39639,0.44157,1.05157,0.83081,1,0.995,0.62679,0.9443,1.66679,1.82451,0.000231213,0.000231213,0.000231213
89,3512.53,0.42172,0.37109,1.0733,0.83081,1,0.995,0.62679,0.9443,1.66679,1.82451,0.00021471,0.00021471,0.00021471
90,3551.07,0.46572,0.45126,1.08741,0.78809,1,0.995,0.69571,1.16847,1.1387,2.06278,0.000198206,0.000198206,0.000198206
91,3589.98,0.52681,0.59183,1.25358,0.78809,1,0.995,0.69571,1.16847,1.1387,2.06278,0.000181703,0.000181703,0.000181703
92,3629.26,0.24763,0.39093,0.99755,0.81,1,0.995,0.74251,1.05041,0.71077,2.04392,0.0001652,0.0001652,0.0001652
93,3667.75,0.24534,0.34648,0.89156,0.81,1,0.995,0.74251,1.05041,0.71077,2.04392,0.000148696,0.000148696,0.000148696
94,3707.54,0.32717,0.38468,1.06074,0.96914,1,0.995,0.79627,0.92981,0.73244,1.89219,0.000132193,0.000132193,0.000132193
95,3746.12,0.31701,0.3646,1.07958,0.96914,1,0.995,0.79627,0.92981,0.73244,1.89219,0.00011569,0.00011569,0.00011569
96,3784.76,0.23164,0.3591,0.91735,0.96732,1,0.995,0.72179,0.97072,0.70223,1.89902,9.91865e-05,9.91865e-05,9.91865e-05
97,3823.03,0.23234,0.34131,0.95893,0.96732,1,0.995,0.72179,0.97072,0.70223,1.89902,8.26832e-05,8.26832e-05,8.26832e-05
98,3861.28,0.22643,0.30365,0.96656,0.9652,1,0.995,0.7961,0.90892,0.77685,1.76371,6.61799e-05,6.61799e-05,6.61799e-05
99,3899.58,0.2268,0.30404,0.93414,0.9652,1,0.995,0.7961,0.90892,0.77685,1.76371,4.96766e-05,4.96766e-05,4.96766e-05
100,3938.08,0.23136,0.34351,0.94312,0.96419,1,0.995,0.84588,0.8872,0.81522,1.72931,3.31733e-05,3.31733e-05,3.31733e-05
